"Country","Code","Continent.region","Year","Population","Total.Death.Rate","Average.death.rate","Factor","Death_rate","normalised death rate"
"Colombia","COL","South America",2019,50187406,191401,31.0496,"Diet low in whole grains",7112,0.0185460443623885
"Colombia","COL","South America",2019,50187406,191401,31.0496,"Diet low in fruits",2202,0.00574218077699373
"Colombia","COL","South America",2019,50187406,191401,31.0496,"Diet low in nuts and seeds",2834,0.00739025446049056
"Colombia","COL","South America",2019,50187406,191401,31.0496,"Diet low in vegetables",3435,0.00895748908672727
"Comoros","COM","Africa",2019,790986,3767,30.2155,"Diet low in whole grains",90,0.000234694037206828
"Comoros","COM","Africa",2019,790986,3767,30.2155,"Diet low in fruits",52,0.000135600999275056
"Comoros","COM","Africa",2019,790986,3767,30.2155,"Diet low in nuts and seeds",16,4.1723384392325e-05
"Comoros","COM","Africa",2019,790986,3767,30.2155,"Diet low in vegetables",81,0.000211224633486145
"Costa Rica","CRI","North America",2019,5084532,19431,29.9929,"Diet low in whole grains",796,0.00207573837351817
"Costa Rica","CRI","North America",2019,5084532,19431,29.9929,"Diet low in fruits",161,0.00041984155544777
"Costa Rica","CRI","North America",2019,5084532,19431,29.9929,"Diet low in nuts and seeds",222,0.000578911958443509
"Costa Rica","CRI","North America",2019,5084532,19431,29.9929,"Diet low in vegetables",346,0.000902268187484028
"Cote d'Ivoire","CIV","Africa",2019,26147551,111121,18.4606,"Diet low in whole grains",2084,0.00543447081710033
"Cote d'Ivoire","CIV","Africa",2019,26147551,111121,18.4606,"Diet low in fruits",1317,0.00343435607779325
"Cote d'Ivoire","CIV","Africa",2019,26147551,111121,18.4606,"Diet low in nuts and seeds",43,0.000112131595554373
"Cote d'Ivoire","CIV","Africa",2019,26147551,111121,18.4606,"Diet low in vegetables",1383,0.00360646503841159
"Croatia","HRV","Europe",2019,4065253,63838,121.3701,"Diet low in whole grains",2642,0.00688957384778266
"Croatia","HRV","Europe",2019,4065253,63838,121.3701,"Diet low in fruits",795,0.00207313066199365
"Croatia","HRV","Europe",2019,4065253,63838,121.3701,"Diet low in nuts and seeds",822,0.0021435388731557
"Croatia","HRV","Europe",2019,4065253,63838,121.3701,"Diet low in vegetables",675,0.00176020527905121
"Cuba","CUB","North America",2019,11316697,100247,57.9674,"Diet low in whole grains",4112,0.0107229097888275
"Cuba","CUB","North America",2019,11316697,100247,57.9674,"Diet low in fruits",1113,0.00290238292679111
"Cuba","CUB","North America",2019,11316697,100247,57.9674,"Diet low in nuts and seeds",324,0.000844898533944581
"Cuba","CUB","North America",2019,11316697,100247,57.9674,"Diet low in vegetables",1011,0.00263639635129003
"Cyprus","CYP","Asia",2019,1228836,8293,50.3729,"Diet low in whole grains",393,0.00102483062913648
"Cyprus","CYP","Asia",2019,1228836,8293,50.3729,"Diet low in fruits",102,0.000265986575501072
"Cyprus","CYP","Asia",2019,1228836,8293,50.3729,"Diet low in nuts and seeds",28,7.30159226865687e-05
"Cyprus","CYP","Asia",2019,1228836,8293,50.3729,"Diet low in vegetables",96,0.00025034030635395
"Czechia","CZE","Europe",2019,10671870,133620,105.6891,"Diet low in whole grains",5058,0.0131898048910237
"Czechia","CZE","Europe",2019,10671870,133620,105.6891,"Diet low in fruits",2469,0.00643843975404065
"Czechia","CZE","Europe",2019,10671870,133620,105.6891,"Diet low in nuts and seeds",1929,0.00503027553079968
"Czechia","CZE","Europe",2019,10671870,133620,105.6891,"Diet low in vegetables",1823,0.00475385810920053
"Denmark","DNK","Europe",2019,5814422,43825,51.8194,"Diet low in whole grains",1774,0.00462608024449903
"Denmark","DNK","Europe",2019,5814422,43825,51.8194,"Diet low in fruits",504,0.00131428660835824
"Denmark","DNK","Europe",2019,5814422,43825,51.8194,"Diet low in nuts and seeds",369,0.000962245552547995
"Denmark","DNK","Europe",2019,5814422,43825,51.8194,"Diet low in vegetables",366,0.000954422417974434
"Djibouti","DJI","Africa",2019,1073994,4551,36.5924,"Diet low in whole grains",127,0.00033117936361408
"Djibouti","DJI","Africa",2019,1073994,4551,36.5924,"Diet low in fruits",139,0.000362471901908323
"Djibouti","DJI","Africa",2019,1073994,4551,36.5924,"Diet low in nuts and seeds",55,0.000143424133848617
"Djibouti","DJI","Africa",2019,1073994,4551,36.5924,"Diet low in vegetables",72,0.000187755229765462
"Dominica","DMA","North America",2019,71428,635,51.8004,"Diet low in whole grains",29,7.5623634211089e-05
"Dominica","DMA","North America",2019,71428,635,51.8004,"Diet low in fruits",1,2.60771152452031e-06
"Dominica","DMA","North America",2019,71428,635,51.8004,"Diet low in nuts and seeds",1,2.60771152452031e-06
"Dominica","DMA","North America",2019,71428,635,51.8004,"Diet low in vegetables",6,1.56462691471219e-05
"Dominican Republic","DOM","North America",2019,10881882,65898,41.3348,"Diet low in whole grains",2789,0.00727290744188715
"Dominican Republic","DOM","North America",2019,10881882,65898,41.3348,"Diet low in fruits",269,0.000701474400095964
"Dominican Republic","DOM","North America",2019,10881882,65898,41.3348,"Diet low in nuts and seeds",116,0.000302494536844356
"Dominican Republic","DOM","North America",2019,10881882,65898,41.3348,"Diet low in vegetables",1324,0.00345261005846489
"Ecuador","ECU","South America",2019,17343740,68009,28.5809,"Diet low in whole grains",2295,0.00598469794877411
"Ecuador","ECU","South America",2019,17343740,68009,28.5809,"Diet low in fruits",331,0.000863152514616223
"Ecuador","ECU","South America",2019,17343740,68009,28.5809,"Diet low in nuts and seeds",1111,0.00289716750374207
"Ecuador","ECU","South America",2019,17343740,68009,28.5809,"Diet low in vegetables",1220,0.00318140805991478
"El Salvador","SLV","North America",2019,6280217,33639,35.1739,"Diet low in whole grains",1082,0.00282154386953098
"El Salvador","SLV","North America",2019,6280217,33639,35.1739,"Diet low in fruits",553,0.00144206447305973
"El Salvador","SLV","North America",2019,6280217,33639,35.1739,"Diet low in nuts and seeds",58,0.000151247268422178
"El Salvador","SLV","North America",2019,6280217,33639,35.1739,"Diet low in vegetables",516,0.00134557914665248
"Equatorial Guinea","GNQ","Africa",2019,1553031,3674,10.3024,"Diet low in whole grains",69,0.000179932095191901
"Equatorial Guinea","GNQ","Africa",2019,1553031,3674,10.3024,"Diet low in fruits",34,8.86621918336906e-05
